Allendale/Irvington/S. Hilton,41.7,41,48.1,37,34.4,4.2,4.6,6.2,5.9,3.9,63.8,10.7,22,2,11.7,37.3,23.7,27.3,44,30.3,32.7,6,0,0,4,65.1,24.5,0.5,0.4,0.4,0.4,2.3,83.4,82.8,83,45.3,57,36,medium/high,medium/medium
Beechfield/Ten Hills/West Hills,10.5,12.2,13.9,10.2,13.9,3.4,3.3,4.8,6,1.5,76,10.7,11.4,1.7,12.4,47.7,25.8,14.1,32.5,19.2,48.1,7,0,0,0,72.5,17.3,0.5,0.3,0.4,0.3,1.2,79.7,81.6,85.6,52.6,61.9,43.1,medium/low,medium/high
Belair-Edison,90.2,66.3,79.1,65.9,64.4,4.1,6.1,3.8,5.1,2.8,69.8,7.4,18.9,2.9,11.7,38.7,28.4,21.3,62.3,29.3,20.1,6,0,0,11,73.6,14.3,0.6,0.3,0.6,0.6,0.1,81.7,83.2,83.9,46.6,59.8,36.3,low/medium,medium/medium
Brooklyn/Curtis Bay/Hawkins Point,91.5,112.1,82.8,66,81.4,4.2,5.8,5.5,4.4,5.4,54.1,17.8,19.7,4.3,21.6,28.8,30.3,19.3,17.7,30.9,15.1,7,0,0,1,66.1,28.8,1.4,9.1,0.9,0.4,0,53.6,53.3,55.6,30.1,28.3,23.7,high/medium,medium/low
Canton,32.8,38.5,38.3,43.7,47.9,6.3,8.9,5.9,6.5,3.8,81.7,6.6,4.1,5.1,18,40.3,26.4,15.2,89.2,10.1,9.6,3,0,0,0,62.8,33,0,0,0.1,0,0,79.5,71.5,78.5,43.2,52,40.6,low/low,low/high
Cedonia/Frankford,22.5,24.2,24.3,17.8,17.8,2.5,5.6,3.1,3.7,1.8,68.5,11,17.9,1,10.7,38,29.9,21.4,57.4,25.9,28.8,6,0,0,2,72,20.5,0.4,0.3,0.6,0.7,0.2,73.9,78.5,78.7,46.6,56.2,37.4,medium/medium,medium/medium
Cherry Hill,11.7,12.7,7.2,7.2,8.2,1.2,3.7,2.9,4.8,0.9,45.3,18.7,31.2,4.6,16.1,35.7,18.4,29.7,38.1,51.8,19,0,0,0,1,63.2,31.3,15.7,74.4,8.1,2,0.1,82.5,82.3,81.9,34.9,53.1,26.6,high/high,high/low
Chinquapin Park/Belvedere,26.3,32.1,47.3,25.5,19.2,5,4.3,6.1,3.9,3.2,69.5,11.4,15.5,1.3,16.6,33.8,27.6,21.9,74.6,24.8,39.4,3,0,0,0,65,27.1,0.4,0.3,0.6,0.5,0.1,83.2,85.9,86.6,51.2,61.9,41,medium/medium,medium/high
Claremont/Armistead,8.1,12.6,17.1,16.3,15.8,1.6,2.9,3,2.9,4.5,64.8,9.5,22.8,1.5,9.9,30.5,35.1,24.4,31,27.8,28,1,0,0,0,79.4,17.1,1,0.5,0.7,0.3,0,60.7,60.9,71.5,37.8,39,32.5,medium/high,medium/low
Clifton-Berea,167.2,171.9,167.7,107.7,126.9,10.9,9.9,9.9,15.4,3.4,49.1,11.8,32.8,3.6,15.9,36.7,24.9,22.6,58.3,44.2,8.3,25,0,0,33,63.3,19.1,0.4,0.4,0.3,0.3,0.1,91.5,89.5,82.2,40.3,57.5,32.3,medium/medium,high/low
Cross-Country/Cheswolde,3.3,8.8,6.9,3.5,3.6,1.1,2.2,4.3,2.1,1.2,72.4,12,12.2,2.9,20.2,39.7,24.7,15.4,43.1,11.8,47.7,2,0,0,0,61.8,32.6,0.3,0.5,1.1,0.3,0,83.1,89.7,85.6,54.5,67.2,46,medium/low,medium/high
Dickeyville/Franklintown,3.2,3.2,7.6,3.9,3.9,0.7,1.5,1.5,1,1.7,66.2,10.7,19.2,1.8,11.6,39,24.6,24.8,17.1,38.7,72.1,2,0,0,2,69.6,24.9,0,0.3,0,0.6,0.3,63.8,69.5,68.5,41.1,47.4,32.8,medium/high,medium/low
Dorchester/Ashburton,33.9,40,37,29,28.9,2.5,4.7,4.8,7.9,2.4,66.2,10.2,21.8,1.6,17.8,42,18.5,21.6,55.9,28.6,30.1,4,0,0,3,74.9,16.1,0.4,0.3,0.3,0.5,0.1,81.3,79.8,79.7,51.4,59.9,42.4,medium/medium,medium/high
Downtown/Seton Hill,31.2,43.8,38.8,39.9,41.1,8.9,11.6,9.5,13.3,7,42.8,4.6,16.4,32.9,32.3,42.2,15.4,10.2,96.7,37.6,6.7,11,0,0,6,26.5,70.6,0,2.2,0.7,0.1,0,63.8,53.2,54.7,30.7,34.9,27.3,low/low,medium/low
Edmondson Village,41.4,35.7,34.9,38.5,31.8,1.8,5.1,3.5,4.8,1.5,51.2,13.8,32.4,1.7,9.1,35,30.5,25.3,52.4,30.7,53.8,2,0,0,1,59.8,22.1,0.5,0.4,0.5,0.3,1.1,93.9,96,92.8,48,68.4,38.8,high/high,high/medium
Fells Point,49.7,41.5,53.3,56.5,48.8,9.5,9,6.9,8.1,6.3,64.8,8.2,7.6,16.6,22,43.6,18.8,15.5,93.9,12.8,7.2,5,0,0,2,51.2,44.1,0,0,0,0,0,74.2,68.9,79.3,41.4,43.8,34.3,medium/low,low/medium
Forest Park/Walbrook,40.5,53.1,54.3,41.7,35.2,2.7,7.1,9.7,7.3,3.9,61.8,12.2,21.7,1.8,8.3,43.2,27.8,20.7,41.5,30.6,52.5,8,0,0,2,79.3,12.7,0.1,0.4,0.3,0.4,0.1,81.1,76.8,82.9,45.2,54,36.7,high/medium,medium/medium
Glen-Fallstaff,26,24.5,33.5,18.2,16.6,1.4,3.6,4.5,2.1,2.1,58.6,11.8,23.7,5.2,18.8,35.3,27.3,18.5,65.7,26.1,27.7,2,0,0,2,66.9,25.8,0.5,0.7,0.8,5,0.1,77.1,66.8,79,49.1,48.7,40.7,medium/medium,medium/high
Greater Charles Village/Barclay,56.7,56.8,62.4,69.4,52.8,3.5,4.1,3.6,4.3,0.9,46.1,5.8,21.3,21,34.3,32,21.2,12.5,89.9,42.2,23.1,37,0,0,37,59,28,0.5,1.6,0.8,0.4,0.1,56.2,56,53,39.4,36.5,35,low/low,medium/medium
Greater Govans,46.3,51.2,69.9,43.8,40.6,6.2,7,5.4,5.1,2.5,56.3,9.2,26.3,4.8,15.6,34.6,23.8,26.1,56.7,29.4,31.8,16,0,0,11,60.7,27,0.4,0.2,0.5,0.6,0.2,86,87.5,85.6,46.8,62.3,37.2,medium/high,high/medium
Greater Mondawmin,90.6,94.5,135.5,82,66,5.9,10.8,11,10.7,4.9,62.1,9.6,25.6,2.2,13.4,42.4,22.9,21.4,66.1,33.4,22.3,7,0,0,7,64.4,25.5,0.6,0.2,0.5,0.4,0.1,82.4,82.5,84,43.4,55.9,35.4,medium/medium,high/medium
Greater Roland Park/Poplar Hill,12.7,13,13,7.5,12.2,5.2,11.9,12.7,10,10.2,79.9,6.7,7.4,3.7,22.9,47,18.9,11.2,54.6,4.4,58.6,1,0,0,0,62.8,20.2,0,0,0,0,0,88,90.4,88.6,64.7,72.1,57.5,low/low,low/high
Greater Rosemont,114.4,94,105.2,76.6,76.1,6,7.8,10.9,9.3,4,55.3,8.2,31.4,3.5,11.2,33.9,27.8,27.1,60.9,41.3,27.2,12,0,0,5,77.6,13.4,0.5,2,0.6,0.3,0.2,86,82,83.7,40.7,54.6,32.7,medium/high,high/low
Greenmount East,154.6,148.4,183,127.3,125.5,14.8,13.6,13,17.5,5.6,38.8,9.4,39.7,9.8,12.6,38.4,19.7,29.2,70.5,57.8,13.4,105,0,0,136,57.3,32.8,0.2,0.4,0.4,0.6,2.2,96.5,83.6,86.5,37.4,53.5,30.8,medium/high,high/low
Hamilton,23.2,23.7,34.7,29.9,25.4,3.8,6,4.2,3.8,2.5,77,10.6,10.2,1.6,8.8,39.8,30.3,21.1,60.1,13.7,34,1,0,0,0,77.7,11.8,0.2,0.2,0.5,0.5,0,75.5,81,81.4,51.1,58.2,41.2,medium/medium,medium/high
Harbor East/Little Italy,35.9,39.2,21.3,23.1,24.4,9.6,7.8,8.7,10,2,33.3,6.6,26.6,29.7,35.3,27.1,16.2,21.5,94.8,42.7,6.5,21,0,0,3,46.9,42.2,0,0,0.1,0.1,0.1,72.2,77.5,75.3,34.9,49,28.2,low/medium,high/low
Harford/Echodale,11.4,18.1,24.9,15.9,14.8,4.6,4.4,3.4,2.1,2.1,79.3,8.4,9,1.1,10.4,40.7,27.5,21.4,53.2,13.4,29.7,5,0,0,5,72.1,19.1,0.3,0.1,0.2,0.2,0,76.3,79.5,80.2,48.2,55.5,40.6,medium/medium,low/high
Highlandtown,126.2,145,89.2,87.7,117,2.8,6.8,4.1,4.6,2.3,69.9,11.8,9.4,5.5,19.8,40.6,19.5,20.1,88.5,19.7,3.2,7,0,0,1,63.4,27.5,0,0,0.1,0,0,67.4,68.7,76.8,41.8,45.6,36.8,medium/medium,low/medium
Howard Park/West Arlington,28.7,26.8,34.1,21.3,22.3,3.8,4.6,6.3,10.6,4.5,75.7,7.6,13.1,3.4,13.1,33.5,30.5,22.8,54.2,15.8,39.2,10,0,0,13,65.5,24.1,0.4,0.4,0.3,0.5,0.1,78.2,78.9,79.3,52.6,58.1,44.4,low/medium,medium/high
